0.7269 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.0748 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1470, 956]. Using actual size
4.6174 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f80f84a8370>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f809dadf580>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6176 	EXP 	window1: mouseVisible = True
4.6183 	EXP 	window1: mouseVisible = False
4.6184 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.6184 	EXP 	window1: recordFrameIntervals = False
4.7836 	EXP 	window1: recordFrameIntervals = True
4.9673 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
4.9674 	EXP 	window1: recordFrameIntervals = False
6.4223 	EXP 	Created introtext = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='introtext', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.4227 	EXP 	Created stimulus_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='stimulus_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
6.4229 	EXP 	window1: mouseVisible = True
6.4326 	EXP 	introtext: autoDraw = True
7.6108 	EXP 	Imported /Users/harpertzou/Desktop/crux_stimulus - Sheet1.csv as conditions, 5 conditions, 1 params
7.6117 	EXP 	Created sequence: random, trialTypes=5, nReps=5, seed=None
7.6122 	EXP 	New trial (rep=0, index=0): OrderedDict([('conditions', 'feet')])
7.6234 	DATA 	Keypress: space
7.6294 	EXP 	introtext: autoDraw = False
7.6294 	EXP 	stimulus_text: height = 0.05
7.6294 	EXP 	stimulus_text: height = 0.05
7.6294 	EXP 	stimulus_text: height = 0.05
7.6294 	EXP 	stimulus_text: text = 'feet'
7.6294 	EXP 	stimulus_text: autoDraw = True
9.6985 	DATA 	Keypress: space
10.3530 	DATA 	Keypress: space
10.8352 	DATA 	Keypress: space
11.7679 	DATA 	Mouse: Left button down, pos=(565,520)
11.7704 	EXP 	New trial (rep=0, index=1): OrderedDict([('conditions', 'head')])
11.7837 	EXP 	stimulus_text: autoDraw = False
11.7837 	EXP 	stimulus_text: height = 0.05
11.7837 	EXP 	stimulus_text: height = 0.05
11.7837 	EXP 	stimulus_text: height = 0.05
11.7837 	EXP 	stimulus_text: text = 'head'
11.7837 	EXP 	stimulus_text: autoDraw = True
11.8505 	DATA 	Mouse:  Left button up, pos=(565,520)
12.2346 	DATA 	Mouse: Left button down, pos=(565,520)
12.2367 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 'left arm')])
12.2498 	EXP 	stimulus_text: autoDraw = False
12.2498 	EXP 	stimulus_text: height = 0.05
12.2498 	EXP 	stimulus_text: height = 0.05
12.2498 	EXP 	stimulus_text: height = 0.05
12.2498 	EXP 	stimulus_text: text = 'left arm'
12.2498 	EXP 	stimulus_text: autoDraw = True
12.3335 	DATA 	Mouse:  Left button up, pos=(565,520)
12.5504 	DATA 	Mouse: Left button down, pos=(565,520)
12.5521 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 'eyes')])
12.5669 	EXP 	stimulus_text: autoDraw = False
12.5669 	EXP 	stimulus_text: height = 0.05
12.5669 	EXP 	stimulus_text: height = 0.05
12.5669 	EXP 	stimulus_text: height = 0.05
12.5669 	EXP 	stimulus_text: text = 'eyes'
12.5669 	EXP 	stimulus_text: autoDraw = True
12.6336 	DATA 	Mouse:  Left button up, pos=(565,520)
12.7340 	DATA 	Mouse: Left button down, pos=(565,520)
12.7356 	EXP 	New trial (rep=0, index=4): OrderedDict([('conditions', 'right arm')])
12.7499 	EXP 	stimulus_text: autoDraw = False
12.7499 	EXP 	stimulus_text: height = 0.05
12.7499 	EXP 	stimulus_text: height = 0.05
12.7499 	EXP 	stimulus_text: height = 0.05
12.7499 	EXP 	stimulus_text: text = 'right arm'
12.7499 	EXP 	stimulus_text: autoDraw = True
12.8169 	DATA 	Mouse:  Left button up, pos=(565,520)
12.8835 	DATA 	Mouse: Left button down, pos=(565,520)
12.8852 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 'eyes')])
12.9001 	EXP 	stimulus_text: autoDraw = False
